Store ID,Country,City,Latitude,Longitude,Brand Owner,Brand Owner Origin,Address,Company Name,Fascia,Floorspace,Format,Price Range
recO3EhrqgxTWtrhJ,Nigeria,Lagos,6.519688,3.321438,Matkay Supermarket,Nigeria,"4, Ibeh Road Ile-Iwe Bus-Stop Iokota Isolo, , Lagos, Nigeria",Matkay,Matkay Supermarket,40,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recOb5RuKLkeOO7L2,Nigeria,Lagos,6.443938,3.508062,Mattoris Supermarket,Nigeria,"25 Alh. Mudashiru Eletu Way, Lekki Penninsula II, Lagos, Nigeria",Mattoris,Mattoris Supermarket,100,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recLvaySXGUirRlYi,Nigeria,Lagos,6.458937,3.601563,Mattoris Supermarket,Nigeria,"No 1 Colony Way, Friends Colony Estate, Eti-Osa, Lekki, Nigeria",Mattoris,Mattoris Supermarket,100,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recwa2NSwH9nBTyx5,Nigeria,Lagos,,,Maxluck Company,Nigeria,"86 Olojo Drive, Ojo, Lagos, Nigeria",Maxluck Company,Maxluck,90,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recOFa1kLf4gMtz0P,Nigeria,Lagos,6.4333259,3.4205183,Mega Plaza,Nigeria,"14 Idowu Martins St, Victoria Island 101241",Mega Plaza,Mega Plaza,1200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
recZmPRCYD4BMBXbW,Nigeria,Lagos,6.456063,3.441187,Merrybellys Supermarket,Nigeria,"24 Park View Estate, Ikoyi, Lagos, Nigeria",Merrybellys,Merrybellys Supermarket,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recjlS23BkDgKb8Vv,Nigeria,Lagos,6.539813,3.283688,MicMart,Nigeria,"148/150 Isolo/Ikotun Rd, Alimosho, Lagos, Nigeria",MicMart,MicMart,50,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recfI1uorigqiVUOs,Nigeria,Lagos,,,Midak Mart,Nigeria,"37 Joel Ogunnaike St, Ikeja GRA, Ikeja, Nigeria",Midak Mart,Midak Mart,100,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec9W5HFt65fYFe6d,Nigeria,Lagos,6.542063,3.281062,Mobil,USA,"98 Isolo/Ikotun Road, Hostel Bus stop Alimosho, Ikotun, Lagos, Nigeria",Mobil,Mobil Mart,45,Convenience and Forecourt,Mid-level
recseDZwQF6pVN4SQ,Nigeria,Lagos,6.469812,3.585187,Monifee,Nigeria,"lekki peninsula II, Nigeria",Monifee,Monifee Express,60,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec2hMP38ZOPWKH2E,Nigeria,Lagos,6.436063,3.500563,Monifee,Nigeria,"Falilat Shomade Street, Lekki, 2 Nicon Town Rd, Peninsula II, Lagos, Nigeria",Monifee,Monifee Express,60,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recZ0x12SSsPmqPN4,Nigeria,Lagos,6.4347718,3.431841,Multiker Nigeria,Nigeria,"7 Bishop Aboyade Cole St, Victoria Island",Multiker,Multiker,300,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recYpYLeTgr9MYz8e,Nigeria,Lagos,6.503937,3.383312,Multistyle Supermarket,Nigeria,"Plot 19 Oyadiran St, opp panda event center, Oyadiran Estate 100001, Lagos, Nigeria",Multistyle Supermarket,Multistyle Supermarket,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
receMljxze15mCgUv,Nigeria,Lagos,6.607938,3.260687,Musaroq Mall,Nigeria,"249 Ipaja Rd, Ipaja, Lagos, Nigeria",Musaroq Mall,Musaroq Mall,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
recZdV1rC2Z1iFFFD,Nigeria,Lagos,6.4295293,3.4258086,Nars Supermarket,Nigeria,"7 Oyin Jolayemi St, Victoria Island",Nars,Nars,600,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
